ano;setor;empresa;kpi;valor;media_privados;desvio_padrao;zscore;sinal;evento_exogeno;descricao_evento
2021;Financeiro;BCO BRASIL S.A.;margem_liquida;0.15;0.24;0.25;-0.38;Na média;0;
2021;Financeiro;BCO BRASIL S.A.;nim;0.03;0.05;0.03;-0.65;Abaixo da média;0;
2021;Financeiro;BCO BRASIL S.A.;indice_eficiencia;1.12;0.56;0.36;1.56;Alerta;0;
2021;Financeiro;BCO BRASIL S.A.;alavancagem;12.0;8.61;1.86;1.82;Alerta;0;
2021;Financeiro;BCO BRASIL S.A.;pdd_ratio;0.0;0.16;0.24;-0.66;Acima da média;0;
2021;Financeiro;BRB BANCO DE BRASILIA S.A.;roe;0.22;0.12;0.06;1.56;Acima da média;0;
2021;Financeiro;BRB BANCO DE BRASILIA S.A.;margem_liquida;0.16;0.24;0.25;-0.33;Na média;0;
2021;Financeiro;BRB BANCO DE BRASILIA S.A.;nim;0.08;0.05;0.03;0.71;Acima da média;0;
2021;Financeiro;BRB BANCO DE BRASILIA S.A.;indice_eficiencia;1.57;0.56;0.36;2.78;Alerta;0;
2021;Financeiro;BRB BANCO DE BRASILIA S.A.;alavancagem;11.75;8.61;1.86;1.68;Alerta;0;
2021;Financeiro;BRB BANCO DE BRASILIA S.A.;pdd_ratio;0.0;0.16;0.24;-0.66;Acima da média;0;
2021;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;roe;0.13;0.12;0.06;0.03;Na média;0;
2021;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;margem_liquida;0.11;0.24;0.25;-0.53;Abaixo da média;0;
2021;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;nim;0.03;0.05;0.03;-0.78;Abaixo da média;0;
2021;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;indice_eficiencia;0.91;0.56;0.36;0.97;Abaixo da média;0;
2021;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;alavancagem;17.56;8.61;1.86;4.8;Alerta;0;
2021;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;pdd_ratio;0.0;0.16;0.24;-0.66;Acima da média;0;
2022;Financeiro;BCO BRASIL S.A.;roe;0.17;0.1;0.08;0.95;Acima da média;0;
2022;Financeiro;BCO BRASIL S.A.;margem_liquida;0.12;0.11;0.12;0.05;Na média;0;
2022;Financeiro;BCO BRASIL S.A.;nim;0.04;0.05;0.03;-0.53;Abaixo da média;0;
2022;Financeiro;BCO BRASIL S.A.;indice_eficiencia;1.01;0.76;0.34;0.75;Abaixo da média;0;
2022;Financeiro;BCO BRASIL S.A.;alavancagem;11.31;9.21;1.94;1.09;Alerta;0;
2022;Financeiro;BCO BRASIL S.A.;pdd_ratio;0.0;0.11;0.17;-0.67;Acima da média;0;
2022;Financeiro;BRB BANCO DE BRASILIA S.A.;roe;0.02;0.1;0.08;-1.07;Alerta;0;
2022;Financeiro;BRB BANCO DE BRASILIA S.A.;margem_liquida;0.01;0.11;0.12;-0.86;Abaixo da média;0;
2022;Financeiro;BRB BANCO DE BRASILIA S.A.;nim;0.04;0.05;0.03;-0.26;Na média;0;
2022;Financeiro;BRB BANCO DE BRASILIA S.A.;indice_eficiencia;1.45;0.76;0.34;2.01;Alerta;0;
2022;Financeiro;BRB BANCO DE BRASILIA S.A.;alavancagem;17.22;9.21;1.94;4.14;Alerta;0;
2022;Financeiro;BRB BANCO DE BRASILIA S.A.;pdd_ratio;0.17;0.11;0.17;0.31;Na média;0;
2022;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;roe;0.17;0.1;0.08;1.0;Acima da média;0;
2022;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;margem_liquida;0.07;0.11;0.12;-0.32;Na média;0;
